gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
LY6G5C	175.44	121.04	100.9	70.21	156.35	153.22	114.88	115.27	85.31	79.89	28.29	56.04	128.15	111.23	139.49	68.2	38.1	63.48	15.83	90.3	20.52	119.09	74.19	39.99	67.52	57.73	65.26	7.27	37.03	105.12	15.5	38.11
ABHD16A	194.73	142.76	98.6	94.09	179.21	186.42	167.84	142.79	104.94	87.85	46.22	62.7	161.31	132.64	184.51	80.02	59.41	93.91	53.64	130.46	28.49	168.8	100.48	50.56	90.36	104.95	83.85	12.97	49.76	146.95	33.25	53.25
LY6G6F	209.02	119.31	77.71	66.2	150.77	157.37	138.17	130.26	94.03	66.46	37.54	57.67	158.85	112.44	124.16	67.23	47.7	77.21	39.2	77.47	20.73	159.62	93	53.84	51.45	66.63	62.32	6.87	31.75	119.22	27.64	58.13
LY6G6F-LY6G6D	199.14	128.14	90.36	83.31	157.85	159.33	145.5	130.31	93.61	76.45	37.92	57.38	163.11	117.67	136.73	60.92	48.5	78.14	35.6	94.51	20.59	147.12	86.17	55.38	61.65	78.09	75.4	8.65	41.23	119.64	24.1	52.16
LY6G6D	174.86	122.81	96.09	91.77	151.47	145.62	151.81	126.63	82.47	74.65	38.24	58.55	146.09	126.84	130.36	55.51	47.83	83.18	31.76	97.44	17.15	143.95	80.07	42.39	82.55	81.77	78.78	9.55	41.89	110.18	23.17	39.58
MPIG6B	233.77	163.68	131.9	107.26	222.41	221.85	188.05	178.52	121.86	115.64	50.23	72.59	191.62	163.42	196.79	88.33	45.41	84.82	31.57	139.84	17.84	151.4	94.32	46.9	85.21	79.09	85.85	11.45	38.3	126.48	29.55	56.53
LY6G6C	209.08	143.3	115.33	96.03	196.41	188.78	170.73	160.89	107.26	95.14	40.81	71.38	154.89	154.8	172.71	75.09	37.47	88.65	34.65	127.88	14.04	135.67	89.61	35.44	81.84	69.48	78.17	15.52	31.3	112.51	23.44	41.3
DDAH2	273.82	184.97	135.19	117.9	252.24	246.61	174.19	183.07	143.2	126.59	71.36	57.51	211.99	167.17	209.33	87.84	56.77	88.84	31.02	146.35	28.32	182.84	94.82	57.46	73.2	86.51	87.7	12.73	49.77	173.94	23.65	58.66
CLIC1	230.42	165.6	98.12	98	189.63	194.77	134.3	130.37	110.87	90.25	39.61	43.49	178.84	124.54	171.34	83.15	41.34	78.6	17.69	96.82	25.49	127.52	92.49	45.25	65.85	82.84	69.53	10.18	43.36	121.82	19.29	44.38
MSH5	171.48	119.79	73.06	75.87	145.75	150.02	124.61	122.47	84.11	66.24	34.38	46.3	135.91	104.18	140.86	58.36	31.02	63.43	17.22	71.33	11	105.62	56.93	30.6	39.72	53.36	50.01	3.78	25.59	94.39	14.32	33.67
MSH5-SAPCD1	179.41	124.31	79.9	79.05	156.24	157.41	133.19	130.24	89.47	69.73	36.91	50.01	141.64	111.36	150.04	60.79	34.39	66.75	18.28	75.59	11.62	112.77	62.14	32.51	43.67	57.4	53.45	4.16	27.53	99.44	15.53	35.3
