gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
C4B	106.49	73.97	38.15	40.05	6.32	92.52	81.12	41.5	44.5	37.16	22.68	50.47	64.89	65.32	86.17	42.69	78.79	138.76	58.99	146.11	42.57	263.91	153.17	65.56	128.42	150.74	143.27	15.33	105.91	343.73	57.82	107.41
CYP21A2	474.13	323.71	249.82	189.1	365.42	360.75	335.3	296.38	179.14	359.49	95.25	152.7	402.62	306.36	323.06	172.14	328.06	520.42	168.26	844.62	116.4	955.7	608.03	341.41	434.42	583.51	645.7	73.68	360.47	797.49	106.95	409.5
TNXB	379.97	286.67	146.7	140.08	287.32	284.32	252.78	228.32	149.59	220.61	73.82	130.56	331.09	236.26	263.82	149.73	215.42	390.2	141.03	617.29	108.42	645.46	453.82	227.16	298.09	391.32	455.01	64.33	244.12	653.94	73.12	287.77
ATF6B	326.85	236	110.41	106.04	219.25	223.83	179.38	179.04	106.79	156.26	53.38	97.01	276.72	184.17	199.49	104.17	117.16	281.17	85.26	369.81	57.72	395.51	290.47	130.25	180.31	245.67	283.48	43.74	134.95	380.81	37.76	196.59
FKBPL	296.8	215.72	95.84	99.02	150.77	174.12	83.76	103.27	96.94	161.85	37.72	47.09	224.43	160.06	153.42	74.02	111.43	335.58	69.8	375.72	57.3	332.8	248.87	121.08	138.77	266.28	261.52	41.37	119.07	364.36	22.25	165.73
PRRT1	208.42	175.89	77.4	66.59	157.99	137.04	130.24	120.69	75.03	127.07	46.34	80.68	176.71	134.95	121.9	62.62	205.06	353.88	101.97	466.4	84.88	529.54	338.07	198.09	240.72	360.77	416.68	45.29	206.24	348.01	42.63	252.72
ENSG00000285085	243.36	190.78	76.97	83.09	177.35	156.58	152.32	132.18	83.67	135.97	40.27	78.67	187.94	140.73	143.74	73.73	190.61	333.06	93.32	436.94	77.65	488.23	306.02	184.77	199.73	309.1	382.35	34.74	173.15	347.87	42.38	243.65
PPT2	272.16	204.78	93.38	108.37	202.71	200.89	163.72	179.94	113.81	149.87	50.64	83.23	227.14	153.64	179.8	104.07	118.89	216.4	68.79	354.54	50.94	415.58	228.74	107.7	159.25	217.76	266.67	29.44	112.84	343.07	39.4	167.87
PPT2-EGFL8	337.22	245.39	123.14	123.19	251.71	246.68	223.98	217.09	129.26	184.08	58.78	102.85	270.83	190.19	221.39	127.25	159.68	293.44	91.68	493.44	69.47	540.33	327.98	155.41	217.65	284.32	338.31	38.77	182.52	495.89	50.38	210.64
EGFL8	414.48	303.27	162.89	141.55	311.26	323.3	311.53	277.18	150.73	217.06	68.23	121.11	330.19	235.42	282.26	144.4	203.32	380.95	115.01	656.95	91.6	721.36	475.84	241.74	287.53	371.57	435.65	52.42	244.82	666.83	57.37	260.63
AGPAT1	439.17	301.42	155.46	151.52	297.95	286.72	229.69	221.22	148.95	233.91	85.25	112.7	335.71	246.33	275.78	156.2	242.26	470.66	146.38	693.46	112.14	735.14	483.69	248.54	325.2	427.98	520.1	67.23	287.58	742.53	81.57	328.22
RNF5	489.75	353.31	140.68	172	242.12	323.89	190.15	164.98	152.73	237.9	78.91	95.68	399.82	242.08	297.27	137.67	260.41	505.2	136.79	720.68	119.79	770.75	577.27	283.74	302.76	417.65	450.67	64.47	299.2	700.69	98.69	343.73
AGER	454.34	321.3	172.19	167.37	290.88	316.74	259.43	250.24	170.81	252.75	70.73	125.64	347.75	240.78	298.5	138.93	265.66	388.76	179.51	644.8	120.17	748.1	487.26	251.11	325.82	394.56	465.41	92.98	242.56	613.9	84.27	355.23
PBX2	479.89	348.65	150.03	170.78	326.74	339.64	284.43	256.16	184.68	267.66	91.45	126.11	411.57	283.6	320.89	157.47	269.22	531.97	166.45	706.54	120.73	794.03	524.43	313.03	375.61	468.31	563.76	66.03	271.85	758.8	71.62	358.53
GPSM3	352.25	257.51	110.75	133.96	229.78	277.12	173.25	160.69	120.96	193.07	59.43	66.97	322.09	190.52	224.74	121.14	179.51	379.75	93.59	452.03	83.18	605.09	430.59	186.89	246.31	376.79	439.82	41.67	199.21	575.77	45.46	288.18
NOTCH4	352.52	265.43	132.68	138.2	256.79	254.37	226.37	200	132.54	194.66	66.38	123.94	304.68	219.27	250.6	127.38	228.14	387.7	154.02	583.35	134.71	611.33	420.72	215.32	254.44	346.59	457.38	78.58	227.3	579.74	107.07	303.52
